participant_id,gender,age_cat,year_of_study,major,treatment_pronoun,partner_gender_code,gender_matching,cars_correct,beauty_correct,selfbelief_cars,selfbelief_beauty,distort_self_cars,distort_self_beauty,overconfident_cars,overconfident_beauty,partner_cars_belief,partner_beauty_belief,partner_score_belief,partner_confidence,pref_domain_self,time_dummy_fast
27,Female,22-23,4,Other,0,0,0,7,8,6.800000190734863,8.800000190734863,-0.20000000298023224,0.800000011920929,0,1,7,7,14,54,Beauty,0
28,Female,20-21,3,Other,0,0,0,7,8,4.699999809265137,7.800000190734863,-2.299999952316284,-0.20000000298023224,0,0,8,7,15,61,Beauty,0
29,Female,18-19,1,Sociology,1,2,1,6,8,5.699999809265137,10.0,-0.30000001192092896,2.0,0,1,3,9,12,67,Beauty,0
30,Male,18-19,2,Psychology,1,1,1,8,7,9.300000190734863,5.099999904632568,1.2999999523162842,-1.899999976158142,1,0,8,6,14,87,Cars,1
31,Male,20-21,4,Economics,1,2,2,7,4,9.399999618530273,3.0999999046325684,2.4000000953674316,-0.8999999761581421,1,0,5,9,14,73,Cars,1
32,Female,20-21,4,Computer Science,1,1,2,5,7,3.700000047683716,8.800000190734863,-1.2999999523162842,1.7999999523162842,0,1,9,4,13,72,Beauty,0
33,Female,20-21,3,Other,1,2,1,4,6,1.399999976158142,9.0,-2.5999999046325684,3.0,0,1,5,10,15,68,Beauty,0
34,Female,18-19,3,Psychology,0,0,0,5,8,4.599999904632568,9.100000381469727,-0.4000000059604645,1.100000023841858,0,1,6,7,13,55,Beauty,0
35,Female,20-21,1,Psychology,1,2,1,3,10,3.0999999046325684,10.0,0.10000000149011612,0.0,1,0,3,8,11,76,Beauty,0
36,Female,20-21,3,Economics,1,2,1,5,6,6.199999809265137,8.399999618530273,1.2000000476837158,2.4000000953674316,1,1,4,10,14,79,Beauty,0
37,Female,22-23,1,Economics,0,0,0,6,8,4.599999904632568,8.600000381469727,-1.399999976158142,0.6000000238418579,0,1,5,7,12,63,Beauty,0
38,Female,18-19,4,Economics,1,2,1,7,8,6.800000190734863,10.0,-0.20000000298023224,2.0,0,1,4,12,16,80,Beauty,0
39,Male,20-21,3,Other,1,1,1,9,4,9.199999809265137,3.299999952316284,0.20000000298023224,-0.699999988079071,1,0,7,4,11,78,Cars,0
40,Male,18-19,1,Political Science,0,0,0,7,7,9.0,7.900000095367432,2.0,0.8999999761581421,1,1,8,7,15,51,Cars,0
41,Female,20-21,4,Political Science,1,2,1,6,8,5.400000095367432,10.0,-0.6000000238418579,2.0,0,1,6,8,14,89,Beauty,0
42,Male,18-19,1,Political Science,1,1,1,11,8,10.0,7.099999904632568,-1.0,-0.8999999761581421,0,0,8,5,13,91,Cars,0
43,Female,18-19,3,Computer Science,0,0,0,6,8,6.599999904632568,10.199999809265137,0.6000000238418579,2.200000047683716,1,1,8,7,15,50,Beauty,0
44,Female,18-19,2,Economics,1,2,1,5,7,2.200000047683716,8.899999618530273,-2.799999952316284,1.899999976158142,0,1,3,8,11,52,Beauty,0
45,Female,18-19,4,Economics,1,1,2,6,7,4.599999904632568,7.400000095367432,-1.399999976158142,0.4000000059604645,0,1,7,3,10,65,Beauty,0
46,Male,18-19,4,Political Science,1,2,2,7,4,9.100000381469727,2.0,2.0999999046325684,-2.0,1,0,4,7,11,82,Cars,1
47,Female,18-19,3,Political Science,1,1,2,9,10,7.599999904632568,10.0,-1.399999976158142,0.0,0,0,7,7,14,79,Beauty,0
48,Female,22-23,4,Psychology,1,2,1,7,8,7.900000095367432,10.0,0.8999999761581421,2.0,1,1,3,6,9,74,Beauty,0
49,Female,20-21,4,Economics,1,2,1,8,7,7.199999809265137,10.0,-0.800000011920929,3.0,0,1,5,8,13,76,Beauty,0
50,Female,18-19,4,Political Science,0,0,0,8,7,7.300000190734863,7.599999904632568,-0.699999988079071,0.6000000238418579,0,1,6,8,14,53,Beauty,0
51,Female,18-19,1,Psychology,1,1,2,8,9,8.699999809265137,10.0,0.699999988079071,1.0,1,1,7,5,12,86,Beauty,0
52,Female,22-23,1,Political Science,0,0,0,6,6,6.300000190734863,8.0,0.30000001192092896,2.0,1,1,5,5,10,43,Beauty,0
53,Male,18-19,2,Economics,0,0,0,5,5,4.300000190734863,6.800000190734863,-0.699999988079071,1.7999999523162842,0,1,7,7,14,58,Beauty,1
54,Female,18-19,4,Computer Science,1,2,1,3,10,3.5999999046325684,10.0,0.6000000238418579,0.0,1,0,7,9,16,79,Beauty,1
55,Female,22-23,3,Political Science,0,0,0,5,8,4.699999809265137,9.699999809265137,-0.30000001192092896,1.7000000476837158,0,1,8,7,15,63,Beauty,0
56,Female,18-19,1,Other,0,0,0,8,7,6.800000190734863,7.300000190734863,-1.2000000476837158,0.30000001192092896,0,1,7,7,14,41,Beauty,0
57,Female,22-23,4,Other,1,2,1,5,7,3.0999999046325684,10.0,-1.899999976158142,3.0,0,1,6,8,14,69,Beauty,0
58,Female,20-21,1,Psychology,1,2,1,5,10,3.5,10.0,-1.5,0.0,0,0,6,10,16,65,Beauty,0
59,Male,18-19,4,Political Science,0,0,0,5,9,6.699999809265137,8.199999809265137,1.7000000476837158,-0.800000011920929,1,0,8,8,16,53,Beauty,0
60,Female,18-19,3,Psychology,1,1,2,5,9,4.400000095367432,10.0,-0.6000000238418579,1.0,0,1,9,6,15,85,Beauty,0
61,Female,20-21,1,Economics,0,0,0,6,6,5.300000190734863,7.599999904632568,-0.699999988079071,1.600000023841858,0,1,8,7,15,63,Beauty,0
62,Male,20-21,4,Economics,0,0,0,5,4,5.800000190734863,2.700000047683716,0.800000011920929,-1.2999999523162842,1,0,5,8,13,60,Cars,0
63,Female,22-23,1,Economics,0,0,0,6,10,4.599999904632568,10.0,-1.399999976158142,0.0,0,0,7,8,15,53,Beauty,0
64,Female,20-21,2,Psychology,1,1,2,8,9,8.5,10.0,0.5,1.0,1,1,7,5,12,63,Beauty,0
65,Male,18-19,3,Psychology,1,1,1,7,4,9.399999618530273,3.0999999046325684,2.4000000953674316,-0.8999999761581421,1,0,9,7,16,62,Cars,0
66,Female,18-19,1,Political Science,1,1,2,4,9,4.199999809265137,10.0,0.20000000298023224,1.0,1,1,6,3,9,72,Beauty,1
67,Female,20-21,4,Economics,1,1,2,3,6,0.30000001192092896,7.800000190734863,-2.700000047683716,1.7999999523162842,0,1,8,6,14,55,Beauty,0
68,Male,18-19,2,Economics,1,1,1,8,6,10.0,4.699999809265137,2.0,-1.2999999523162842,1,0,7,3,10,82,Cars,1
69,Female,20-21,4,Other,1,2,1,6,10,4.800000190734863,10.0,-1.2000000476837158,0.0,0,0,4,9,13,73,Beauty,0
70,Female,20-21,4,Economics,0,0,0,6,6,5.599999904632568,5.300000190734863,-0.4000000059604645,-0.699999988079071,0,0,4,8,12,78,Cars,0
71,Female,20-21,1,Political Science,1,2,1,5,7,3.0999999046325684,8.5,-1.899999976158142,1.5,0,1,5,7,12,98,Beauty,0
72,Male,18-19,2,Sociology,1,2,2,7,6,7.699999809265137,4.5,0.699999988079071,-1.5,1,0,4,9,13,70,Cars,0
73,Female,18-19,3,Economics,1,1,2,7,8,6.800000190734863,8.199999809265137,-0.20000000298023224,0.20000000298023224,0,1,7,6,13,91,Beauty,0
74,Male,18-19,2,Computer Science,0,0,0,6,6,6.099999904632568,6.400000095367432,0.10000000149011612,0.4000000059604645,1,1,8,5,13,47,Beauty,0
75,Female,18-19,4,Computer Science,1,1,2,7,6,4.599999904632568,6.599999904632568,-2.4000000953674316,0.6000000238418579,0,1,7,5,12,87,Beauty,0
76,Male,18-19,1,Political Science,1,2,2,6,7,9.100000381469727,6.800000190734863,3.0999999046325684,-0.20000000298023224,1,0,6,10,16,75,Cars,0
77,Female,18-19,2,Computer Science,1,1,2,5,7,4.199999809265137,8.800000190734863,-0.800000011920929,1.7999999523162842,0,1,6,4,10,54,Beauty,0
78,Male,20-21,2,Economics,1,2,2,6,6,8.699999809265137,4.699999809265137,2.700000047683716,-1.2999999523162842,1,0,6,7,13,51,Cars,0
79,Female,20-21,2,Psychology,1,2,1,6,9,3.5999999046325684,10.0,-2.4000000953674316,1.0,0,1,6,8,14,60,Beauty,0
80,Female,22-23,4,Psychology,0,0,0,5,10,3.299999952316284,10.0,-1.7000000476837158,0.0,0,0,8,7,15,75,Beauty,0
81,Male,20-21,3,Computer Science,0,0,0,8,4,8.899999618530273,4.5,0.8999999761581421,0.5,1,1,7,7,14,50,Cars,0
82,Male,18-19,3,Psychology,1,1,1,7,6,8.0,5.599999904632568,1.0,-0.4000000059604645,1,0,9,3,12,84,Cars,0
83,Male,18-19,4,Economics,1,1,1,8,7,9.300000190734863,5.099999904632568,1.2999999523162842,-1.899999976158142,1,0,9,7,16,83,Cars,0
84,Female,18-19,1,Computer Science,1,1,2,6,7,6.400000095367432,8.800000190734863,0.4000000059604645,1.7999999523162842,1,1,9,3,12,58,Beauty,0
85,Male,20-21,1,Psychology,1,1,1,7,5,8.800000190734863,2.700000047683716,1.7999999523162842,-2.299999952316284,1,0,7,6,13,85,Cars,0
86,Female,18-19,4,Political Science,1,1,2,5,6,4.599999904632568,7.5,-0.4000000059604645,1.5,0,1,8,7,15,68,Beauty,0
87,Male,18-19,1,Economics,0,0,0,10,6,10.0,5.699999809265137,0.0,-0.30000001192092896,0,0,6,7,13,70,Cars,0
88,Male,20-21,2,Psychology,1,1,1,6,4,7.400000095367432,1.899999976158142,1.399999976158142,-2.0999999046325684,1,0,8,5,13,67,Cars,1
89,Female,18-19,3,Other,0,0,0,4,8,3.200000047683716,9.699999809265137,-0.800000011920929,1.7000000476837158,0,1,7,9,16,59,Beauty,1
90,Female,20-21,2,Psychology,0,0,0,6,9,3.700000047683716,10.0,-2.299999952316284,1.0,0,1,5,8,13,39,Beauty,0
91,Female,20-21,2,Psychology,0,0,0,3,9,1.600000023841858,10.0,-1.399999976158142,1.0,0,1,6,8,14,52,Beauty,0
92,Male,20-21,4,Political Science,0,0,0,4,4,6.699999809265137,3.0999999046325684,2.700000047683716,-0.8999999761581421,1,0,6,8,14,72,Cars,0
93,Female,20-21,2,Political Science,1,2,1,2,10,3.0999999046325684,10.0,1.100000023841858,0.0,1,0,5,10,15,82,Beauty,1
94,Female,20-21,2,Computer Science,0,0,0,7,8,6.800000190734863,9.699999809265137,-0.20000000298023224,1.7000000476837158,0,1,6,8,14,65,Beauty,0
95,Female,18-19,3,Other,0,0,0,8,7,6.400000095367432,6.599999904632568,-1.600000023841858,-0.4000000059604645,0,0,5,8,13,58,Beauty,0
96,Female,20-21,2,Political Science,1,2,1,6,9,6.5,10.0,0.5,1.0,1,1,5,9,14,90,Beauty,0
97,Male,20-21,1,Computer Science,0,0,0,10,3,10.0,2.0999999046325684,0.0,-0.8999999761581421,0,0,6,9,15,73,Cars,1
98,Male,20-21,1,Psychology,1,2,2,7,8,8.199999809265137,7.900000095367432,1.2000000476837158,-0.10000000149011612,1,0,6,9,15,72,Cars,0
99,Male,18-19,2,Economics,1,1,1,6,4,8.699999809265137,4.0,2.700000047683716,0.0,1,0,7,5,12,80,Cars,1
100,Female,18-19,3,Psychology,1,2,1,5,7,4.800000190734863,9.800000190734863,-0.20000000298023224,2.799999952316284,0,1,4,8,12,65,Beauty,0
101,Male,18-19,2,Economics,0,0,0,6,7,7.0,5.699999809265137,1.0,-1.2999999523162842,1,0,8,8,16,50,Cars,0
102,Male,18-19,1,Psychology,0,0,0,5,7,5.5,6.5,0.5,-0.5,1,0,7,9,16,57,Beauty,0
103,Male,18-19,4,Computer Science,0,0,0,8,4,9.199999809265137,2.0999999046325684,1.2000000476837158,-1.899999976158142,1,0,6,6,12,61,Cars,0
104,Male,18-19,2,Political Science,1,1,1,7,8,7.900000095367432,7.5,0.8999999761581421,-0.5,1,0,7,4,11,82,Cars,0
105,Female,22-23,4,Psychology,0,0,0,7,8,5.400000095367432,8.5,-1.600000023841858,0.5,0,1,5,6,11,64,Beauty,0
106,Female,20-21,3,Computer Science,1,2,1,5,7,3.9000000953674316,7.400000095367432,-1.100000023841858,0.4000000059604645,0,1,3,10,13,74,Beauty,0
107,Male,18-19,3,Other,0,0,0,6,6,8.199999809265137,5.199999809265137,2.200000047683716,-0.800000011920929,1,0,6,9,15,73,Cars,0
108,Male,18-19,2,Economics,0,0,0,7,7,7.400000095367432,6.5,0.4000000059604645,-0.5,1,0,6,8,14,52,Cars,1
109,Male,20-21,4,Political Science,0,0,0,8,6,7.5,7.099999904632568,-0.5,1.100000023841858,0,1,6,9,15,62,Cars,0
110,Female,22-23,4,Other,0,0,0,8,10,8.300000190734863,10.0,0.30000001192092896,0.0,1,0,5,5,10,44,Beauty,0
111,Female,18-19,2,Sociology,0,0,0,5,7,4.0,7.300000190734863,-1.0,0.30000001192092896,0,1,4,8,12,60,Beauty,0
112,Male,22-23,3,Other,0,0,0,7,6,7.900000095367432,7.300000190734863,0.8999999761581421,1.2999999523162842,1,1,6,8,14,75,Cars,0
113,Female,20-21,3,Psychology,0,0,0,5,6,4.5,7.099999904632568,-0.5,1.100000023841858,0,1,7,8,15,47,Beauty,0
114,Female,18-19,1,Economics,0,0,0,4,7,3.299999952316284,7.900000095367432,-0.699999988079071,0.8999999761581421,0,1,6,7,13,70,Beauty,0
115,Male,18-19,4,Computer Science,0,0,0,8,4,8.699999809265137,4.599999904632568,0.699999988079071,0.6000000238418579,1,1,5,7,12,62,Cars,0
116,Female,18-19,1,Economics,0,0,0,7,9,6.5,10.0,-0.5,1.0,0,1,7,6,13,58,Beauty,0
117,Female,18-19,3,Psychology,0,0,0,4,8,3.200000047683716,9.199999809265137,-0.800000011920929,1.2000000476837158,0,1,5,6,11,66,Beauty,0
118,Male,20-21,1,Psychology,1,1,1,7,4,9.5,4.300000190734863,2.5,0.30000001192092896,1,1,8,5,13,75,Cars,0
119,Female,22-23,2,Other,0,0,0,4,8,4.300000190734863,8.399999618530273,0.30000001192092896,0.4000000059604645,1,1,8,6,14,66,Beauty,0
120,Female,22-23,2,Economics,0,0,0,4,8,5.099999904632568,9.0,1.100000023841858,1.0,1,1,5,8,13,63,Beauty,0
121,Male,22-23,1,Computer Science,0,0,0,6,5,7.5,3.5999999046325684,1.5,-1.399999976158142,1,0,7,7,14,78,Cars,0
122,Male,20-21,1,Political Science,1,1,1,7,8,7.900000095367432,6.699999809265137,0.8999999761581421,-1.2999999523162842,1,0,8,6,14,70,Cars,0
123,Female,18-19,3,Computer Science,0,0,0,4,7,4.0,6.199999809265137,0.0,-0.800000011920929,0,0,6,6,12,55,Beauty,0
124,Female,20-21,4,Economics,1,1,2,5,7,3.799999952316284,9.699999809265137,-1.2000000476837158,2.700000047683716,0,1,7,4,11,57,Beauty,0
125,Male,20-21,1,Other,0,0,0,9,5,10.0,4.199999809265137,1.0,-0.800000011920929,1,0,7,8,15,68,Cars,0
126,Female,18-19,3,Sociology,0,0,0,6,8,5.800000190734863,7.400000095367432,-0.20000000298023224,-0.6000000238418579,0,0,4,9,13,61,Beauty,0
127,Female,20-21,3,Computer Science,0,0,0,8,9,6.099999904632568,10.0,-1.899999976158142,1.0,0,1,4,8,12,48,Beauty,0
128,Male,20-21,3,Economics,1,1,1,7,4,8.0,2.4000000953674316,1.0,-1.600000023841858,1,0,6,3,9,62,Cars,0
129,Male,18-19,2,Economics,1,2,2,4,4,5.400000095367432,3.700000047683716,1.399999976158142,-0.30000001192092896,1,0,5,7,12,58,Cars,0
130,Female,20-21,3,Economics,1,2,1,6,9,4.900000095367432,10.0,-1.100000023841858,1.0,0,1,3,8,11,74,Beauty,0
131,Female,20-21,2,Economics,1,2,1,3,10,3.0999999046325684,10.0,0.10000000149011612,0.0,1,0,4,8,12,62,Beauty,0
132,Female,20-21,3,Computer Science,1,2,1,5,8,3.200000047683716,8.899999618530273,-1.7999999523162842,0.8999999761581421,0,1,5,10,15,70,Beauty,0
133,Male,18-19,1,Economics,0,0,0,10,3,10.0,2.299999952316284,0.0,-0.699999988079071,0,0,5,6,11,59,Cars,0
134,Male,18-19,4,Other,0,0,0,4,3,3.9000000953674316,1.0,-0.10000000149011612,-2.0,0,0,7,9,16,56,Cars,0
135,Male,20-21,4,Computer Science,1,2,2,5,7,7.099999904632568,5.800000190734863,2.0999999046325684,-1.2000000476837158,1,0,4,10,14,74,Cars,0
136,Female,20-21,1,Other,0,0,0,6,6,3.5999999046325684,5.300000190734863,-2.4000000953674316,-0.699999988079071,0,0,6,7,13,55,Beauty,0
137,Female,18-19,1,Economics,0,0,0,6,7,6.800000190734863,8.100000381469727,0.800000011920929,1.100000023841858,1,1,7,7,14,46,Beauty,0
138,Male,20-21,2,Other,1,2,2,8,8,10.0,6.699999809265137,2.0,-1.2999999523162842,1,0,5,10,15,60,Cars,0
139,Female,18-19,1,Psychology,1,2,1,7,8,6.800000190734863,10.0,-0.20000000298023224,2.0,0,1,6,7,13,64,Beauty,0
140,Male,20-21,1,Economics,1,1,1,7,8,9.699999809265137,7.099999904632568,2.700000047683716,-0.8999999761581421,1,0,9,6,15,77,Cars,0
141,Male,22-23,1,Psychology,0,0,0,7,4,7.199999809265137,4.800000190734863,0.20000000298023224,0.800000011920929,1,1,9,5,14,79,Cars,0
142,Male,18-19,1,Political Science,1,1,1,10,6,10.0,5.0,0.0,-1.0,0,0,7,5,12,63,Cars,1
143,Male,18-19,1,Political Science,1,1,1,5,7,7.300000190734863,7.199999809265137,2.299999952316284,0.20000000298023224,1,1,8,4,12,62,Cars,0
144,Female,18-19,4,Sociology,0,0,0,6,8,5.400000095367432,10.0,-0.6000000238418579,2.0,0,1,7,7,14,69,Beauty,0
145,Female,22-23,4,Psychology,1,1,2,4,7,2.700000047683716,9.300000190734863,-1.2999999523162842,2.299999952316284,0,1,7,3,10,72,Beauty,0
146,Male,20-21,2,Sociology,0,0,0,6,4,8.100000381469727,5.300000190734863,2.0999999046325684,1.2999999523162842,1,1,8,6,14,47,Cars,0
147,Male,18-19,1,Economics,1,1,1,9,4,10.0,3.799999952316284,1.0,-0.20000000298023224,1,0,8,5,13,58,Cars,0
148,Female,18-19,2,Economics,1,1,2,5,6,3.5999999046325684,7.800000190734863,-1.399999976158142,1.7999999523162842,0,1,6,4,10,79,Beauty,0
149,Female,20-21,3,Economics,1,1,2,6,6,4.5,8.800000190734863,-1.5,2.799999952316284,0,1,8,7,15,76,Beauty,0
150,Female,18-19,1,Political Science,0,0,0,5,8,4.699999809265137,7.900000095367432,-0.30000001192092896,-0.10000000149011612,0,0,7,7,14,44,Beauty,0
151,Female,18-19,1,Economics,0,0,0,2,8,2.700000047683716,8.199999809265137,0.699999988079071,0.20000000298023224,1,1,5,7,12,55,Beauty,0
152,Male,18-19,1,Political Science,1,1,1,9,7,10.0,5.199999809265137,1.0,-1.7999999523162842,1,0,9,5,14,78,Cars,0
153,Female,18-19,1,Economics,1,2,1,8,9,8.399999618530273,10.0,0.4000000059604645,1.0,1,1,6,11,17,57,Beauty,0
154,Female,18-19,3,Psychology,1,1,2,4,10,1.899999976158142,10.0,-2.0999999046325684,0.0,0,0,7,6,13,66,Beauty,0
155,Female,18-19,4,Computer Science,1,2,1,2,8,1.7999999523162842,9.699999809265137,-0.20000000298023224,1.7000000476837158,0,1,6,8,14,67,Beauty,0
156,Female,18-19,1,Economics,0,0,0,3,9,3.0999999046325684,10.0,0.10000000149011612,1.0,1,1,4,6,10,69,Beauty,0
157,Female,20-21,1,Economics,1,2,1,5,10,3.5,10.0,-1.5,0.0,0,0,5,10,15,85,Beauty,1
158,Male,18-19,3,Computer Science,0,0,0,7,5,7.699999809265137,6.300000190734863,0.699999988079071,1.2999999523162842,1,1,8,5,13,50,Cars,0
159,Female,20-21,4,Economics,1,2,1,7,6,6.599999904632568,6.099999904632568,-0.4000000059604645,0.10000000149011612,0,1,5,9,14,58,Cars,0
160,Female,22-23,2,Economics,0,0,0,5,6,4.699999809265137,5.699999809265137,-0.30000001192092896,-0.30000001192092896,0,0,7,7,14,59,Beauty,0
161,Female,18-19,1,Economics,0,0,0,7,10,6.099999904632568,10.0,-0.8999999761581421,0.0,0,0,7,6,13,56,Beauty,0
162,Male,20-21,1,Computer Science,1,1,1,10,7,10.0,6.0,0.0,-1.0,0,0,7,3,10,83,Cars,0
163,Female,18-19,2,Other,1,2,1,6,8,4.099999904632568,8.899999618530273,-1.899999976158142,0.8999999761581421,0,1,6,7,13,71,Beauty,1
164,Female,20-21,2,Other,1,2,1,5,7,4.5,9.600000381469727,-0.5,2.5999999046325684,0,1,4,7,11,63,Beauty,0
165,Female,22-23,4,Psychology,1,2,1,4,8,3.9000000953674316,10.0,-0.10000000149011612,2.0,0,1,6,11,17,91,Beauty,0
166,Female,20-21,3,Other,0,0,0,8,7,6.900000095367432,8.5,-1.100000023841858,1.5,0,1,6,5,11,72,Beauty,0
167,Female,18-19,2,Economics,1,2,1,6,9,6.5,10.0,0.5,1.0,1,1,5,9,14,57,Beauty,0
168,Male,18-19,1,Computer Science,1,2,2,4,4,6.5,2.700000047683716,2.5,-1.2999999523162842,1,0,6,9,15,64,Cars,0
169,Male,18-19,3,Psychology,0,0,0,9,5,10.0,3.799999952316284,1.0,-1.2000000476837158,1,0,8,9,17,62,Cars,0
170,Male,18-19,3,Other,0,0,0,6,6,8.699999809265137,4.599999904632568,2.700000047683716,-1.399999976158142,1,0,7,8,15,59,Cars,0
171,Female,20-21,2,Computer Science,1,1,2,6,8,4.400000095367432,9.100000381469727,-1.600000023841858,1.100000023841858,0,1,8,5,13,85,Beauty,0
172,Male,18-19,4,Economics,1,1,1,9,7,10.0,6.300000190734863,1.0,-0.699999988079071,1,0,7,4,11,64,Cars,0
173,Female,18-19,3,Economics,0,0,0,7,8,6.800000190734863,8.100000381469727,-0.20000000298023224,0.10000000149011612,0,1,6,8,14,71,Beauty,0
174,Female,20-21,3,Sociology,0,0,0,4,8,4.300000190734863,8.699999809265137,0.30000001192092896,0.699999988079071,1,1,7,6,13,65,Beauty,0
175,Male,18-19,3,Other,0,0,0,7,5,7.699999809265137,3.5,0.699999988079071,-1.5,1,0,7,7,14,69,Cars,0
176,Female,18-19,4,Political Science,1,1,2,6,7,6.099999904632568,8.0,0.10000000149011612,1.0,1,1,7,3,10,80,Beauty,0
177,Female,22-23,1,Psychology,1,1,2,6,7,5.300000190734863,8.899999618530273,-0.699999988079071,1.899999976158142,0,1,6,7,13,61,Beauty,0
178,Female,22-23,4,Psychology,1,1,2,7,8,6.800000190734863,9.699999809265137,-0.20000000298023224,1.7000000476837158,0,1,8,6,14,79,Beauty,0
179,Male,20-21,3,Computer Science,0,0,0,7,6,6.300000190734863,4.599999904632568,-0.699999988079071,-1.399999976158142,0,0,8,6,14,52,Cars,1
180,Male,18-19,2,Economics,0,0,0,10,3,10.0,3.0999999046325684,0.0,0.10000000149011612,0,1,7,7,14,46,Cars,0
181,Female,18-19,2,Economics,1,1,2,5,8,4.300000190734863,9.399999618530273,-0.699999988079071,1.399999976158142,0,1,7,7,14,69,Beauty,0
182,Female,22-23,2,Sociology,1,1,2,6,10,5.699999809265137,10.0,-0.30000001192092896,0.0,0,0,8,7,15,70,Beauty,0
183,Male,18-19,3,Political Science,1,1,1,10,6,10.0,4.599999904632568,0.0,-1.399999976158142,0,0,8,4,12,69,Cars,0
184,Male,18-19,1,Political Science,1,1,1,6,3,7.5,1.899999976158142,1.5,-1.100000023841858,1,0,8,4,12,59,Cars,0
185,Female,18-19,1,Economics,0,0,0,6,8,5.099999904632568,9.0,-0.8999999761581421,1.0,0,1,5,7,12,52,Beauty,0
